A,determinant,B
poche,de,papier
pochette,de,toile
sacoche,de,toile
besace,de,toile
gibecière,de,toile
musette,de,toile
havresac,de,toile
sac,de,toile
ballot,de,toile
balle,de,toile
paquet,de,tissu
balluchon,de,tissu
baluchon,de,toile
bagage,de,toile
valise,de,cuir
malle,de,cuir
mallette,de,cuir
attaché-case,de,cuir
serviette,de,cuir
cartable,de,cuir
sacoche,de,cuir
porte-documents,de,cuir
portefeuille,de,cuir
bourse,de,cuir
porte-monnaie,de,cuir
escarcelle,de,cuir
aumônière,de,cuir
gousset,de,tissu
poche,de,tissu
blague,de,cuir
étui,de,cuir
fourreau,de,cuir
gaine,de,cuir
housse,de,cuir
enveloppe,de,cuir
couverture,de,cuir
reliure,de,cuir
dos,de,cuir
plat,de,cuir
tranche,de,cuir
coiffe,de,cuir
mors,de,cuir
nervure,de,cuir
filet,d',or
encadrement,d',or
bordure,d',or
garniture,d',or
ornement,d',or
décor,d',or
motif,d',or
frise,d',or
grecque,d',or
rinceau,d',or
palmette,d',or
rosace,d',or
fleuron,d',or
arabesque,d',or
entrelacs,d',or
volute,d',or
coquille,d',or
cartouche,d',or
écusson,d',or
blason,d',or
armoiries,d',or
couronne,de,laurier
guirlande,de,fleurs
festoon,de,fleurs
bouquet,de,fleurs
gerbe,de,fleurs
botte,de,fleurs
couronne,de,fleurs
diadème,de,fleurs
chapeau,de,fleurs
bandeau,de,fleurs
guirlande,de,feuillage
feston,de,feuillage
guirlande,de,papier
banderole,de,papier
bannière,de,soie
oriflamme,de,soie
étendard,de,soie
drapeau,de,toile
pavillon,de,toile
fanion,de,toile
flamme,de,toile
pennon,de,toile
gonfalon,de,soie
gonfanon,de,soie
cornette,de,toile
guidon,de,toile
enseigne,de,toile
pancarte,de,carton
affiche,de,papier
placard,de,papier
écriteau,de,bois
panneau,de,bois
enseigne,de,bois
plaque,de,métal
plaque,de,marbre
plaque,de,bronze
médaille,d',or
insigne,d',or
décoration,d',or
ordre,d',or
croix,d',argent
étoile,d',argent
palme,d',or
ruban,de,soie
rosette,de,soie
cocarde,de,soie
nœud,de,soie
boucle,de,soie
ganse,de,soie
cordon,d',or
cordonnet,d',or
tresse,d',or
galon,d',or
passementerie,d',or
frange,d',or
crépine,d',or
gland,d',or
pompon,de,laine
houppe,de,laine
touffe,de,laine
flocon,de,coton
bourre,de,laine
rembourrage,de,laine
capitonnage,de,laine
matelassure,de,laine
piquage,de,coton
ouatinage,de,coton
doublure,de,coton
triplure,de,coton
entoilage,de,toile
renfort,de,toile
empeigne,de,cuir
claque,de,cuir
quartier,de,cuir
contrefort,de,cuir
cambrure,de,cuir
voûte,de,cuir
semelle,de,cuir
première,de,cuir
trépointe,de,cuir
intercalaire,de,cuir
fausse-semelle,de,cuir
doublure,de,cuir
tige,de,cuir
languette,de,cuir
soufflet,de,cuir
patte,de,cuir
œillet,de,métal
crochet,de,métal
passant,de,cuir
bride,de,cuir
martingale,de,cuir
élastique,de,tissu
lacet,de,coton
cordon,de,coton
ficelle,de,coton
fil,de,nylon
ficelle,de,nylon
corde,de,nylon
câble,de,nylon
filet,de,nylon
réseau,de,nylon
maille,de,nylon
filet,de,chanvre
rets,de,chanvre
seine,de,chanvre
chalut,de,chanvre
traîne,de,chanvre
épervier,de,chanvre
carrelet,de,chanvre
balance,de,chanvre
nasse,d',osier
casier,d',osier
verveux,d',osier
bouteux,d',osier
bosselle,d',osier
panier,de,jonc
manne,de,jonc
corbeille,de,jonc
couffin,de,jonc
cabas,de,jonc
sac,de,jute
toile,de,jute
serpillière,de,jute
sac,de,raphia
panier,de,raphia
chapeau,de,raphia
natte,de,raphia
tapis,de,raphia
store,de,bambou
canne,de,bambou
bâton,de,bambou
tige,de,bambou
tuteur,de,bambou
échalas,de,bambou
pieu,de,bambou
piquet,de,bambou
poteau,de,bambou
perche,de,bambou
gaule,de,bambou
mât,de,bambou
vergue,de,bambou
balancier,de,bambou
barre,de,bambou
poutre,de,bambou
chevron,de,bambou
latte,de,bambou
planche,de,bambou
panneau,de,bambou
cloison,de,bambou
mur,de,bambou
clôture,de,bambou
palissade,de,bambou
haie,de,bambou
claie,de,bambou
clayonnage,de,bambou
treillage,de,bambou
treillis,de,bambou
vannage,de,bambou
panier,de,bambou
corbeille,de,bambou
hotte,de,bambou
berceau,de,bambou
lit,de,bambou
chaise,de,bambou
fauteuil,de,bambou
canapé,de,bambou
table,de,bambou
meuble,de,bambou
étagère,de,bambou
armoire,de,bambou
bibliothèque,de,bois
rayonnage,de,bois
tablette,de,bois
planche,de,verre
étagère,de,verre
rayon,de,verre
vitrine,de,verre
armoire,de,verre
vaisselier,de,bois
buffet,de,noyer
bahut,de,chêne
crédence,de,chêne
dressoir,de,chêne
desserte,de,bois
console,de,marbre
guéridon,de,marbre
socle,de,marbre
piédestal,de,marbre
piédouche,de,marbre
colonne,de,porphyre
fût,de,granit
base,de,granit
stylobate,de,pierre
podium,de,pierre
estrade,de,bois
tréteau,de,bois
établi,de,bois
banc,de,chêne
sellette,de,bois
tabouret,de,fer
escabeau,d',acier
échelle,d',aluminium
échafaudage,d',acier
plateforme,d',acier
passerelle,d',acier
coursive,d',acier
balcon,de,fer
loggia,de,pierre
