Unnamed: 0,A,determinant,B,type_relation
204,treillage,de,bois,r_objet>matière
914,massue,de,pierre,r_objet>matière
177,caveau,de,pierre,r_objet>matière
415,logis,de,pierre,r_objet>matière
476,latté,de,bois,r_objet>matière
52,parquet,de,chêne,r_objet>matière
708,gant,de,cuir,r_objet>matière
277,gargouille,de,pierre,r_objet>matière
246,sauteuse,de,cuivre,r_objet>matière
1084,corbeille,de,plastique,r_objet>matière
859,percuteur,d',acier,r_objet>matière
526,massue,de,fer,r_objet>matière
741,ceinture,de,cuir,r_objet>matière
448,lattis,de,roseau,r_objet>matière
700,pectoral,de,bronze,r_objet>matière
344,hotte,d',osier,r_objet>matière
915,matraque,de,bois,r_objet>matière
419,couverture,d',ardoise,r_objet>matière
580,penture,de,fer,r_objet>matière
260,receveur,de,céramique,r_objet>matière
1055,efface,de,caoutchouc,r_objet>matière
320,câble,de,chanvre,r_objet>matière
658,capuchon,de,toile,r_objet>matière
939,câble,de,coco,r_objet>matière
894,épée,de,bronze,r_objet>matière
801,camée,de,coquille,r_objet>matière
1226,piquage,de,coton,r_objet>matière
849,carabine,d',acier,r_objet>matière
1299,perche,de,bambou,r_objet>matière
491,dé,d',os,r_objet>matière
67,lanterne,de,fer,r_objet>matière
522,badine,de,bois,r_objet>matière
186,lambris,de,bois,r_objet>matière
458,bûche,de,bois,r_objet>matière
916,gourdin,de,chêne,r_objet>matière
1127,étui,de,cuir,r_objet>matière
559,grillage,de,fer,r_objet>matière
1019,soupape,de,bronze,r_objet>matière
654,chapeau,de,feutre,r_objet>matière
732,claquette,de,bois,r_objet>matière
861,balle,de,plomb,r_objet>matière
569,cadenas,de,fer,r_objet>matière
263,sanitaire,de,porcelaine,r_objet>matière
1126,blague,de,cuir,r_objet>matière
949,flocon,de,laine,r_objet>matière
428,solive,de,bois,r_objet>matière
1348,socle,de,marbre,r_objet>matière
641,baldaquin,de,velours,r_objet>matière
689,écharpe,de,mailles,r_objet>matière
1080,cuvette,de,plastique,r_objet>matière
36,couteau,d',acier,r_objet>matière
664,képi,de,toile,r_objet>matière
581,ferrure,de,fer,r_objet>matière
195,marche,de,marbre,r_objet>matière
1214,passementerie,d',or,r_objet>matière
62,glace,de,cristal,r_objet>matière
382,balancelle,de,bois,r_objet>matière
1180,fanion,de,toile,r_objet>matière
614,joug,de,bois,r_objet>matière
99,coffre,de,bois,r_objet>matière
550,croc,de,fer,r_objet>matière
333,tapisserie,de,laine,r_objet>matière
652,calotte,de,laine,r_objet>matière
1278,manne,de,jonc,r_objet>matière
384,escarpolette,de,bois,r_objet>matière
1369,loggia,de,pierre,r_objet>matière
574,crémone,de,fer,r_objet>matière
228,magasin,de,pierre,r_objet>matière
831,braise,de,charbon,r_objet>matière
778,bracelet,de,fer,r_objet>matière
1158,écusson,d',or,r_objet>matière
1051,semelle,de,caoutchouc,r_objet>matière
940,crin,de,crin,r_objet>matière
515,batte,de,bois,r_objet>matière
405,chartreuse,de,pierre,r_objet>matière
1195,plaque,de,marbre,r_objet>matière
1365,plateforme,d',acier,r_objet>matière
220,forge,de,pierre,r_objet>matière
729,mocassin,de,cuir,r_objet>matière
170,cathédrale,de,pierre,r_objet>matière
670,claque,de,soie,r_objet>matière
1165,gerbe,de,fleurs,r_objet>matière
102,boîte,de,bois,r_objet>matière
520,bâton,de,bois,r_objet>matière
1332,bibliothèque,de,bois,r_objet>matière
1325,chaise,de,bambou,r_objet>matière
809,griffe,d',or,r_objet>matière
817,talisman,de,pierre,r_objet>matière
24,fil,de,cuivre,r_objet>matière
137,monument,de,pierre,r_objet>matière
993,abri,de,planches,r_objet>matière
986,hutte,de,branchage,r_objet>matière
717,bottine,de,cuir,r_objet>matière
203,haie,de,bois,r_objet>matière
1178,drapeau,de,toile,r_objet>matière
987,cahute,de,planches,r_objet>matière
1116,cartable,de,cuir,r_objet>matière
1264,filet,de,chanvre,r_objet>matière
1161,couronne,de,laurier,r_objet>matière
780,jonc,d',or,r_objet>matière
871,flèche,de,bois,r_objet>matière
1284,serpillière,de,jute,r_objet>matière
567,herse,de,fer,r_objet>matière
775,chainette,d',or,r_objet>matière
1244,tige,de,cuir,r_objet>matière
162,muraille,de,pierre,r_objet>matière
631,badine,de,rotin,r_objet>matière
185,panneau,de,bois,r_objet>matière
1200,ordre,d',or,r_objet>matière
254,lavabo,de,porcelaine,r_objet>matière
1118,porte-documents,de,cuir,r_objet>matière
205,pergola,de,bois,r_objet>matière
43,marteau,de,fer,r_objet>matière
292,aqueduc,de,pierre,r_objet>matière
1270,carrelet,de,chanvre,r_objet>matière
40,armure,de,fer,r_objet>matière
889,yatagan,d',acier,r_objet>matière
674,panama,de,paille,r_objet>matière
350,coussin,de,plume,r_objet>matière
475,medium,de,bois,r_objet>matière
1096,sac,de,papier,r_objet>matière
617,bricole,de,cuir,r_objet>matière
839,amadou,de,champignon,r_objet>matière
288,piscine,de,béton,r_objet>matière
145,haut-relief,de,pierre,r_objet>matière
792,jais,de,lignite,r_objet>matière
152,arcade,de,pierre,r_objet>matière
134,tombeau,de,marbre,r_objet>matière
1268,traîne,de,chanvre,r_objet>matière
267,réservoir,de,céramique,r_objet>matière
688,capuche,de,mailles,r_objet>matière
1099,sacoche,de,toile,r_objet>matière
1128,fourreau,de,cuir,r_objet>matière
295,ponton,de,bois,r_objet>matière
467,chevron,de,sapin,r_objet>matière
813,grain,de,bois,r_objet>matière
328,tente,de,toile,r_objet>matière
225,marché,de,pierre,r_objet>matière
1290,store,de,bambou,r_objet>matière
979,paille,de,paille,r_objet>matière
154,dôme,de,pierre,r_objet>matière
1319,vannage,de,bambou,r_objet>matière
907,francisque,de,fer,r_objet>matière
272,conduite,de,fonte,r_objet>matière
286,cuve,de,béton,r_objet>matière
91,fauteuil,de,bois,r_objet>matière
794,nacre,de,coquillage,r_objet>matière
1260,câble,de,nylon,r_objet>matière
357,couchette,de,bois,r_objet>matière
420,chaume,de,paille,r_objet>matière
556,échalas,de,bois,r_objet>matière
31,gong,de,bronze,r_objet>matière
571,verrou,de,fer,r_objet>matière
744,baudrier,de,cuir,r_objet>matière
1148,grecque,d',or,r_objet>matière
601,grelot,de,fer,r_objet>matière
436,jambe,de,bois,r_objet>matière
622,blouson,de,cuir,r_objet>matière
704,cuillère,d',acier,r_objet>matière
605,étui,de,cuir,r_objet>matière
237,fourneau,de,fonte,r_objet>matière
867,mine,d',acier,r_objet>matière
1216,crépine,d',or,r_objet>matière
1269,épervier,de,chanvre,r_objet>matière
411,maison,de,pierre,r_objet>matière
827,brandon,de,bois,r_objet>matière
362,sofa,de,bois,r_objet>matière
496,damier,de,bois,r_objet>matière
950,brin,de,laine,r_objet>matière
584,heurtoir,de,bronze,r_objet>matière
84,charrette,de,bois,r_objet>matière
630,selle,de,cuir,r_objet>matière
1091,colis,de,carton,r_objet>matière
1354,stylobate,de,pierre,r_objet>matière
291,canal,de,pierre,r_objet>matière
932,grelin,de,chanvre,r_objet>matière
180,cellier,de,pierre,r_objet>matière
68,candélabre,d',argent,r_objet>matière
3,collier,d',or,r_objet>matière
1133,reliure,de,cuir,r_objet>matière
198,balustrade,de,bois,r_objet>matière
13,chaîne,d',or,r_objet>matière
221,atelier,de,bois,r_objet>matière
893,glaive,d',acier,r_objet>matière
280,puits,de,pierre,r_objet>matière
165,citadelle,de,pierre,r_objet>matière
662,béret,de,laine,r_objet>matière
374,repose-pied,de,bois,r_objet>matière
213,étable,de,pierre,r_objet>matière
810,collier,de,perles,r_objet>matière
943,bobine,de,soie,r_objet>matière
673,ballot,de,paille,r_objet>matière
72,bassin,de,marbre,r_objet>matière
279,pompe,de,fonte,r_objet>matière
1272,nasse,d',osier,r_objet>matière
172,chapelle,de,pierre,r_objet>matière
663,casquette,de,toile,r_objet>matière
439,ferme,de,bois,r_objet>matière
971,javelle,de,paille,r_objet>matière
312,brise-lames,de,béton,r_objet>matière
70,vasque,de,marbre,r_objet>matière
325,toile,de,chanvre,r_objet>matière
349,siège,de,paille,r_objet>matière
1114,attaché-case,de,cuir,r_objet>matière
1015,tuyau,de,laiton,r_objet>matière
308,dock,de,béton,r_objet>matière
691,voile,de,tissu,r_objet>matière
1073,verre,de,plastique,r_objet>matière
421,bardeau,de,bois,r_objet>matière
400,pavillon,de,bois,r_objet>matière
607,rêne,de,cuir,r_objet>matière
86,échelle,de,bois,r_objet>matière
1287,chapeau,de,raphia,r_objet>matière
995,toit,de,tôle,r_objet>matière
603,harnais,de,cuir,r_objet>matière
446,bauge,d',argile,r_objet>matière
887,sabre,d',acier,r_objet>matière
1058,balai,de,caoutchouc,r_objet>matière
296,jetée,de,pierre,r_objet>matière
290,mare,de,béton,r_objet>matière
424,volige,de,bois,r_objet>matière
107,tirelire,de,céramique,r_objet>matière
1353,base,de,granit,r_objet>matière
396,baraque,de,bois,r_objet>matière
1018,valve,de,bronze,r_objet>matière
796,corne,de,kératine,r_objet>matière
880,dague,d',acier,r_objet>matière
572,loquet,de,fer,r_objet>matière
57,carreau,de,céramique,r_objet>matière
602,collier,de,cuir,r_objet>matière
702,brassard,d',acier,r_objet>matière
565,portillon,de,fer,r_objet>matière
136,pierre,de,granit,r_objet>matière
479,parqueterie,de,bois,r_objet>matière
910,herminette,de,fer,r_objet>matière
87,escabeau,de,bois,r_objet>matière
1207,nœud,de,soie,r_objet>matière
241,chaudron,de,cuivre,r_objet>matière
21,monnaie,d',argent,r_objet>matière
1253,élastique,de,tissu,r_objet>matière
937,filin,de,coco,r_objet>matière
1266,seine,de,chanvre,r_objet>matière
378,transat,de,toile,r_objet>matière
10,fenêtre,de,verre,r_objet>matière
331,rideau,de,toile,r_objet>matière
543,sarcloir,de,fer,r_objet>matière
149,chapiteau,de,marbre,r_objet>matière
558,treillis,de,fer,r_objet>matière
678,chapeau,de,cuir,r_objet>matière
101,caisse,de,bois,r_objet>matière
800,coquille,de,nacre,r_objet>matière
249,faitout,de,fonte,r_objet>matière
457,fagot,de,bois,r_objet>matière
393,chaumière,de,chaume,r_objet>matière
836,anthracite,de,charbon,r_objet>matière
243,cocotte,de,fonte,r_objet>matière
1257,fil,de,nylon,r_objet>matière
1283,toile,de,jute,r_objet>matière
686,machine,de,fer,r_objet>matière
1131,enveloppe,de,cuir,r_objet>matière
623,poitrail,de,cuir,r_objet>matière
578,charnière,de,fer,r_objet>matière
1009,câble,d',aluminium,r_objet>matière
1057,raclette,de,caoutchouc,r_objet>matière
684,cabasset,d',acier,r_objet>matière
592,cloche,de,fer,r_objet>matière
389,tipi,de,toile,r_objet>matière
155,coupole,de,pierre,r_objet>matière
1265,rets,de,chanvre,r_objet>matière
480,menuiserie,de,bois,r_objet>matière
852,fût,de,bois,r_objet>matière
1112,malle,de,cuir,r_objet>matière
1267,chalut,de,chanvre,r_objet>matière
58,carrelage,de,marbre,r_objet>matière
128,ostensoir,d',or,r_objet>matière
1039,durite,de,caoutchouc,r_objet>matière
643,ciel,de,soie,r_objet>matière
1274,verveux,d',osier,r_objet>matière
825,flambeau,de,cire,r_objet>matière
1119,portefeuille,de,cuir,r_objet>matière
1123,aumônière,de,cuir,r_objet>matière
345,berceau,d',osier,r_objet>matière
227,entrepôt,de,brique,r_objet>matière
1030,gilet,de,liège,r_objet>matière
714,grève,d',acier,r_objet>matière
891,wakizashi,d',acier,r_objet>matière
352,édredon,de,plume,r_objet>matière
71,fontaine,de,pierre,r_objet>matière
958,bourre,de,coton,r_objet>matière
1092,paquet,de,carton,r_objet>matière
483,sculpture,de,bois,r_objet>matière
552,ratissoire,de,fer,r_objet>matière
537,faucille,de,fer,r_objet>matière
418,toiture,de,tuile,r_objet>matière
734,basket,de,toile,r_objet>matière
1040,flexible,de,caoutchouc,r_objet>matière
240,chaudière,de,fonte,r_objet>matière
14,bracelet,d',argent,r_objet>matière
632,stick,de,bois,r_objet>matière
924,flagellum,de,cuir,r_objet>matière
885,coutelas,d',acier,r_objet>matière
790,corail,de,calcaire,r_objet>matière
414,résidence,de,pierre,r_objet>matière
78,fût,de,chêne,r_objet>matière
746,bretelle,de,cuir,r_objet>matière
803,gemme,de,pierre,r_objet>matière
1224,capitonnage,de,laine,r_objet>matière
1303,balancier,de,bambou,r_objet>matière
1134,dos,de,cuir,r_objet>matière
1050,cale,de,caoutchouc,r_objet>matière
1239,première,de,cuir,r_objet>matière
1313,palissade,de,bambou,r_objet>matière
822,bougie,de,cire,r_objet>matière
698,cuirasse,d',acier,r_objet>matière
690,chemise,de,cuir,r_objet>matière
555,piquet,de,bois,r_objet>matière
261,carrelage,de,céramique,r_objet>matière
287,bassin,de,béton,r_objet>matière
1090,emballage,de,carton,r_objet>matière
1074,assiette,de,plastique,r_objet>matière
833,escarbille,de,charbon,r_objet>matière
521,canne,de,bois,r_objet>matière
182,mur,de,brique,r_objet>matière
209,cabanon,de,bois,r_objet>matière
30,cloche,de,bronze,r_objet>matière
1184,gonfanon,de,soie,r_objet>matière
498,plateau,de,bois,r_objet>matière
423,tavillon,de,bois,r_objet>matière
23,barre,de,fer,r_objet>matière
1251,bride,de,cuir,r_objet>matière
217,pigeonnier,de,pierre,r_objet>matière
1197,médaille,d',or,r_objet>matière
1166,botte,de,fleurs,r_objet>matière
570,serrure,de,fer,r_objet>matière
1081,baquet,de,plastique,r_objet>matière
514,crosse,de,bois,r_objet>matière
193,linteau,de,pierre,r_objet>matière
1215,frange,d',or,r_objet>matière
422,lauze,de,pierre,r_objet>matière
582,quincaillerie,de,fer,r_objet>matière
1024,rondelle,de,caoutchouc,r_objet>matière
147,moulure,de,plâtre,r_objet>matière
1038,tuyau,de,caoutchouc,r_objet>matière
952,frisure,de,laine,r_objet>matière
756,agrafe,de,bronze,r_objet>matière
541,houe,de,fer,r_objet>matière
253,bain,de,marbre,r_objet>matière
1331,armoire,de,bambou,r_objet>matière
28,toiture,de,cuivre,r_objet>matière
1139,nervure,de,cuir,r_objet>matière
265,toilettes,de,porcelaine,r_objet>matière
69,applique,de,bronze,r_objet>matière
1076,bol,de,plastique,r_objet>matière
441,pan,de,bois,r_objet>matière
1236,cambrure,de,cuir,r_objet>matière
568,chaîne,de,fer,r_objet>matière
264,bidet,de,porcelaine,r_objet>matière
876,javelot,de,bois,r_objet>matière
80,cuve,de,bois,r_objet>matière
388,tente,de,coton,r_objet>matière
1317,treillage,de,bambou,r_objet>matière
762,épingle,d',argent,r_objet>matière
329,auvent,de,toile,r_objet>matière
232,resserre,de,bois,r_objet>matière
314,balise,de,fer,r_objet>matière
1347,guéridon,de,marbre,r_objet>matière
761,aiguille,d',or,r_objet>matière
452,fourrage,de,foin,r_objet>matière
1103,havresac,de,toile,r_objet>matière
1142,bordure,d',or,r_objet>matière
1190,placard,de,papier,r_objet>matière
944,écheveau,de,soie,r_objet>matière
829,bûche,de,chêne,r_objet>matière
274,gouttière,de,cuivre,r_objet>matière
962,édredon,de,duvet,r_objet>matière
970,botte,de,paille,r_objet>matière
1339,armoire,de,verre,r_objet>matière
1323,berceau,de,bambou,r_objet>matière
647,couronne,de,bronze,r_objet>matière
773,crochet,d',argent,r_objet>matière
980,chaume,de,paille,r_objet>matière
1172,feston,de,feuillage,r_objet>matière
158,tourelle,de,pierre,r_objet>matière
587,timbre,de,bronze,r_objet>matière
811,chapelet,de,bois,r_objet>matière
743,sangle,de,cuir,r_objet>matière
585,marteau,de,bronze,r_objet>matière
1100,besace,de,toile,r_objet>matière
283,lavoir,de,pierre,r_objet>matière
183,cloison,de,plâtre,r_objet>matière
528,fléau,de,fer,r_objet>matière
727,pantoufle,de,feutre,r_objet>matière
473,stratifié,de,bois,r_objet>matière
18,pendentif,de,jade,r_objet>matière
25,câble,d',acier,r_objet>matière
77,tonneau,de,chêne,r_objet>matière
1093,enveloppe,de,papier,r_objet>matière
1201,croix,d',argent,r_objet>matière
888,cimeterre,d',acier,r_objet>matière
990,cabane,de,planches,r_objet>matière
346,fauteuil,de,rotin,r_objet>matière
238,cuisinière,de,fonte,r_objet>matière
719,brodequin,de,cuir,r_objet>matière
219,moulin,de,pierre,r_objet>matière
597,sonnaille,de,bronze,r_objet>matière
4,bague,d',argent,r_objet>matière
495,jeu,de,bois,r_objet>matière
530,hallebarde,de,fer,r_objet>matière
1192,panneau,de,bois,r_objet>matière
781,anneau,d',or,r_objet>matière
1054,gomme,de,caoutchouc,r_objet>matière
49,colonne,de,marbre,r_objet>matière
1228,doublure,de,coton,r_objet>matière
500,marelle,de,craie,r_objet>matière
711,cuissot,d',acier,r_objet>matière
1316,clayonnage,de,bambou,r_objet>matière
